,properIngredients,cuisine,pred_cuisine,check
25340,pickle chana dal serrano sugar peanut curry tumeric lime juice white rice poppadoms black lentil kosher salt vegetable oil black mustard seeds,indian,indian,True
9213,tomato paste white onion crushed garlic diced tomatoes cayenne pepper boneless chicken skinless thigh garam masala lemon salt ground turmeric brown sugar water butter cilantro cinnamon sticks black pepper vegetable oil heavy cream greek style plain yogurt,indian,indian,True
24336,golden brown sugar rice vinegar soft fresh goat cheese granny smith apples peeled fresh ginger cayenne pepper chopped fresh mint olive oil roasted garlic cinnamon sticks baguette golden raisins garlic cloves plum tomatoes,italian,indian,False
26773,cottage cheese lean ground beef egg grated parmesan cheese shredded mozzarella cheese lasagna noodles part skim ricotta cheese pasta sauce mushroom onion,italian,italian,True
12355,lime rotisserie chicken avocado broccoli bread purple onion plum tomatoes pinenuts sauce,mexican,mexican,True
10158,soy sauce sesame oil garlic cloves honey star anise chicken pieces water balsamic vinegar cinnamon sticks clove fresh ginger oil onion,chinese,chinese,True
5762,water macaroni chopped onion dried parsley kidney beans garlic green beans corn kernel whole dried basil diced tomatoes carrot dried oregano tomato sauce beef bouillon granules chopped celery ground beef cabbage,italian,italian,True
16611,italian sausage ground black pepper green peas salt dried oregano marsala wine grated parmesan cheese garlic sliced mushrooms olive oil crushed red pepper flakes purple onion red bell pepper chicken stock zucchini yellow bell pepper penne pasta,italian,italian,True
7111,green chard firm tofu white miso water nori green onions,japanese,japanese,True
36826,sweet potatoes extra light olive oil free range eggs light brown sugar cinnamon pumpkin pie spice baking powder baking mix madagascar bourbon vanilla extract sea salt gluten free cornmeal,southern_us,southern_us,True
17417,crawfish cayenne pepper butter whole kernel corn  drain green onions cream cheese cream condensed cream of mushroom soup condensed cream of potato soup,southern_us,southern_us,True
18779,powdered sugar organic cane sugar sea salt almond milk kamut flour agave nectar vanilla bean paste kiwi vanilla beans peach strawberry corn starch nutritional yeast butter fresh lemon juice,french,southern_us,False
30064,Japanese soy sauce daikon rice vinegar watercress leaves vegetable oil garlic fillet caster sugar sesame oil ginger white sesame seeds sake mirin raw sugar cucumber,japanese,japanese,True
8131,fresh basil minced garlic olive oil purple onion dried oregano pitted kalamata olives Spike Seasoning dijon mustard feta cheese crumbles red wine vinaigrette water ground black pepper frozen basil Balsamico Bianco bean dried thyme fresh green bean roasted tomatoes,greek,greek,True
24538,mushroom fresh lemon juice olive oil large garlic cloves fresh parsley boneless chicken breast halves all purpose flour dried oregano dry white wine low salt chicken broth,greek,italian,False
31877,rosemary sprigs sea salt lemon juice garbanzo beans extra virgin olive oil olive oil crushed red pepper flakes onion fresh rosemary ground red pepper garlic cloves,greek,italian,False
30423,ground black pepper salt sour cream chicken broth chili powder garlic cloves hominy green chilies onion pork shoulder butt scallion oregano,mexican,mexican,True
31369,olive oil chopped cilantro fresh ground cinnamon carrot ground ginger vinegar honey fresh parsley,moroccan,moroccan,True
23758,stout salt cracker butter dry mustard sharp cheddar cheese rye bread blue cheese cayenne pepper worcestershire sauce white wine vinegar garlic cloves,southern_us,irish,False
14060,sesame oil chopped cilantro fresh fresh ginger root dried shiitake mushrooms long grain white rice green onions sausage chicken dark soy sauce salt boiling water,chinese,chinese,True
9621,large eggs salt fat free milk butter grated lemon zest brown sugar baking powder all purpose flour granulated sugar vanilla extract blackberry,southern_us,southern_us,True
25889,white onion ricotta cheese shredded mozzarella cheese dough minced garlic cracked black pepper garlic salt kosher salt diced tomatoes fresh basil leaves romano cheese lean ground beef extra virgin olive oil noodle,italian,italian,True
34371,water red curry paste kaffir lime leaves thai basil eggplant coconut milk fish sauce chicken breasts,thai,thai,True
15161,sugar whipping cream semisweet chocolate unsalted butter raspberry liqueur white chocolate fresh raspberries,french,french,True
22331,crushed tomatoes fresh mozzarella firm tofu rigatoni large eggs salt onion ground black pepper extra virgin olive oil garlic cloves frozen spinach grated parmesan cheese grated nutmeg dried oregano,italian,italian,True
39220,sugar cooking spray garlic cloves active dry yeast salt warm water kalamata fleur de sel olive oil all purpose flour,italian,french,False
5703,ground ginger chili powder oil clove garam masala green cardamom coriander asafoetida salt greek yogurt fennel seeds new potatoes mustard oil,indian,indian,True
18635,ground cinnamon peach salt cold water sweetener all purpose unbleached flour water vegetable shortening piecrust arrowroot starch canola oil,southern_us,southern_us,True
15657,caraway seeds salt smoked paprika coriander seeds dried chile peppers olive oil cumin seed garlic lemon juice,moroccan,moroccan,True
35951,brown sugar vinegar meat bones pork back ribs butter peppercorn soy sauce bay leaves panko breadcrumbs honey garlic,filipino,filipino,True
12143,kidney beans low salt chicken broth cooked rice smoked sausage cajun seasoning onion olive oil garlic cloves,cajun_creole,cajun_creole,True
7662,celery leaves palm sugar large garlic cloves cilantro leaves fresh lime juice green cabbage lemongrass green onions salted roast peanuts fresh lemon juice chopped cilantro fresh kaffir lime leaves olive oil daikon thai chile coarse kosher salt plum tomatoes fish sauce yardlong beans grated carrot persian cucumber boneless skinless chicken breast halves,vietnamese,thai,False
24133,shredded mozzarella cheese pizza sauce italian seasoning refrigerated crescent rolls pork sausages red pepper flakes,italian,italian,True
30797,evaporated milk vegetable oil cake flour white sugar cream of tartar egg whites butter salt greater yam food colouring egg yolks red food coloring corn syrup milk baking powder vanilla extract preserve,filipino,filipino,True
7813,orange juice concentrate garlic cloves fresh chives fresh parsley salmon fillets fresh lemon juice nonfat yogurt grated orange,french,french,True
37250,brown sugar whole milk cooking spray salt ground cinnamon sweet potatoes ground nutmeg butter,southern_us,southern_us,True
31297,reduced fat sharp cheddar cheese quickcooking grits dried thyme salt water butter garlic powder,southern_us,southern_us,True
29621,egg golden brown sugar golden raisins sugar unsalted butter grated lemon peel candied orange peel ground nutmeg fresh lemon juice dried currants frozen pastry puff sheets,british,british,True
1821,black pepper pork chops cilantro comino lime serrano peppers green pepper white onion potato salt tomato olive oil tomatillo garlic cloves,mexican,mexican,True
24803,roasted hazelnuts butter sharp cheddar cheese large egg yolks all purpose flour large egg whites salt fresh lemon juice whole milk dry bread crumbs,british,italian,False
22179,fresh cilantro scallion chinese rice wine peeled fresh ginger chicken egg noodles carrot water salt,chinese,chinese,True
32191,fresh ginger hot pepper corn starch soy sauce green onions red wine vinegar onion fructose chicken breast halves salt chicken broth sherry vegetable oil salted cashews,chinese,chinese,True
25068,tumeric chili pepper chicken breasts garlic basmati rice plain yogurt fresh ginger heavy cream onion kosher salt garam masala diced tomatoes frozen peas sugar fresh cilantro butter ground coriander cumin,indian,indian,True
6089,white vinegar pineapple olive oil avocado purple onion jicama,mexican,mexican,True
37423,fresh basil dry yeast salt freshly ground pepper yellow tomato honey chopped fresh thyme fresh oregano plum tomatoes yellow corn meal warm water cooking spray all purpose flour garlic cloves fresh rosemary olive oil asiago chopped onion,italian,italian,True
21904,caper jalapeno chilies extra virgin olive oil fillet lime rind butter cilantro leaves onion sugar bay leaves salt fresh lime juice tomato dried thyme pitted green olives garlic cloves dried oregano,mexican,mexican,True
39056,boneless chicken skinless thigh olive oil low sodium fat free chicken broth salt saffron pepper dried apricot non fat sour cream cinnamon sticks fresh cilantro harissa paste ras el hanout flat leaf parsley no salt added diced tomatoes garbanzo beans garlic yellow onion,moroccan,moroccan,True
32563,egg yukon gold potatoes herb olive oil yellow onion aioli,mexican,italian,False
5356,powdered sugar butter strawberry cooking spray vanilla extract banana crepe mango mango chutney part skim ricotta cheese,french,french,True
3804,large eggs    low fat milk corn mix muffin,southern_us,southern_us,True
34415,fennel seeds sugar basil dried leaves onion tomato sauce olive oil garlic cloves tomato paste black pepper shredded parmesan cheese dried leaves oregano table salt butter celery,italian,italian,True
25983,chopped ham fresh marjoram chopped celery onion egg ground nutmeg wild rice long grain white rice pecan butter bay leaf collard greens stuffing low salt chicken broth,southern_us,southern_us,True
4501,sugar vegetable oil cucumber chili pepper garlic chopped cilantro fish sauce minced ginger purple onion seedless red grapes baby spinach leaves sirloin steak fresh lime juice,thai,thai,True
3376,ice cubes hot water orange orange liqueur sugar tequila pomegranate juice lime slices fresh lime juice,mexican,mexican,True
17755,fat free less sodium chicken broth green onions arborio rice water salt dry roasted peanuts bacon slices sushi rice peeled fresh ginger,chinese,italian,False
39207,rice green onions ham egg peanut oil pea dried shrimp,chinese,chinese,True
7127,tapioca starch toasted sesame seeds salt mango white rice white sugar water coconut milk,thai,vietnamese,False
11105,halibut fillets vegetable oil dried oregano caper unsalted butter serrano chile tomato ground black pepper garlic cloves kosher salt finely chopped onion olive,mexican,mexican,True
3041,sugar large eggs lemon extract ground nutmeg water butter,french,french,True
27884,all purpose flour unsalted butter large eggs water dill,russian,russian,True
16505,water sea salt egg scallion fish sauce,chinese,korean,False
15055,romaine lettuce egg whites salt canola oil water low fat mayonnaise cornmeal hoagie buns cajun seasoning dill pickles tilapia fillets purple onion plum tomatoes,cajun_creole,cajun_creole,True
8205,saffron threads olive oil rockfish garlic cloves fennel seeds fish stock yellow onion herbes de provence cod red pepper flakes salt shrimp fish fillets tomatoes with juice halibut,french,french,True
2103,pepper masala vegetable salt olive oil,indian,indian,True
16105,jalapeno chilies onion water salsa ground black pepper pinto beans reduced sodium chicken broth garlic cumin,mexican,mexican,True
26943,chile powder molasses baking soda yellow onion sour cream chicken stock lime juice bay leaves carrot smoked ham hocks avocado water sweet potatoes garlic cloves chopped cilantro fresh celery ribs dried black beans olive oil salt red bell pepper ground cumin,mexican,mexican,True
39347,Herdez Salsa Verde Mexican oregano ground cumin green chile pork tenderloin bay leaf chicken broth hominy garlic pasilla chiles chicken breasts onion,mexican,mexican,True
28920,chicken breasts mixed bell peppers salsa frozen corn olive yoghurt corn tortillas,mexican,mexican,True
16147,chicken broth cooked chicken garlic bay leaf water chile pepper tortilla chips cumin black pepper chili powder salt onion corn tomatoes with juice enchilada sauce,mexican,mexican,True
4508,milk white sugar unflavored gelatin vanilla extract whipping cream water strawberry,italian,italian,True
10453,gingerroot brown sugar water,jamaican,japanese,False
29382,light molasses hoisin sauce salt soy sauce dijon mustard worcestershire sauce honey plum sauce hot chili paste pork baby back ribs ground black pepper bourbon whiskey pineapple juice,southern_us,chinese,False
29324,green chile water fresh parsley ground cumin tomato sauce garlic cloves canola oil cheddar cheese chili powder onion sugar corn tortillas chicken,mexican,mexican,True
12106,pepper apple frozen peas green olives boneless skinless chicken breasts frozen corn kernels potato salt mayonaise raisin carrot,brazilian,filipino,False
36654,green chile kidney beans diced tomatoes red bell pepper kosher salt lean ground beef scallion ground cumin tomato sauce chili powder yellow onion sour cream shredded cheddar cheese vegetable oil garlic cloves,mexican,mexican,True
18574,flour tortillas mayonaise salsa egg shredded lettuce refried beans,mexican,mexican,True
30221,potato cheese curds vegetable oil beef gravy,french,indian,False
24748,firmly packed brown sugar large eggs cake flour evaporated milk butter shortening baking powder chopped pecans granulated sugar vanilla extract,southern_us,southern_us,True
7103,olive oil freshly ground pepper large garlic cloves flat leaf parsley anchovy fillets spaghetti grated parmesan cheese fresh lemon juice,italian,italian,True
19916,diced onions lime tomato cilantro avocado cayenne minced garlic salt,mexican,mexican,True
26434,egg lemon zest salt mayonaise vegetable oil fresh lime juice fresh basil egg yolks crabmeat saltine pepper old bay seasoning chopped cilantro fresh,cajun_creole,southern_us,False
6476,water strawberry jack cheese frozen corn tamale sliced olives rice frozen limeade salsa,mexican,mexican,True
8922,cake flour buttermilk baking soda all purpose flour salt,irish,southern_us,False
24076,chicken broth salsa jalapeno chilies oil crushed garlic long grain rice salt ground cumin,mexican,mexican,True
378,reduced sodium chicken broth lemon chopped cilantro fennel seeds harissa garlic cloves ground cumin golden raisins ground coriander ground lamb ground cinnamon vegetable oil couscous,moroccan,moroccan,True
11400,slaw corn tortillas vegetable oil albacore mayonaise ponzu,japanese,mexican,False
6726,fresh basil quickcooking grits ground black pepper goat cheese water salt finely chopped fresh parsley,southern_us,southern_us,True
23184,meat pepper oatmeal egg salt tomato juice onion,southern_us,spanish,False
39097,puff paste unsalted butter watercress black truffles arrowroot beef broth cold water large egg whites mushroom fat Madeira large egg yolks foie gras,british,french,False
18688,ginger whole chicken lemongrass garlic onion fresh spinach thai chile coconut milk papaya salt,filipino,filipino,True
14249,kaffir lime leaves fresh coriander boneless chicken fish sauce fresh ginger garlic cloves spinach leaves lime oil red chili peppers Himalayan salt,thai,thai,True
22674,extra virgin olive oil dijon mustard fresh oregano red wine vinegar garlic cloves ground black pepper salt,italian,french,False
23340,white bread large eggs extra virgin olive oil lemon juice milk vegetable oil anchovy fillets caper dry white wine all purpose flour flat leaf parsley unsalted butter fresh mozzarella garlic cloves,italian,italian,True
39700,semolina flour sea salt active dry yeast grated lemon peel warm water extra virgin olive oil fresh rosemary all purpose unbleached flour,french,italian,False
22411,large eggs all purpose unbleached flour ice water large shrimp corn oil salt mayonaise lemon,moroccan,southern_us,False
35656,collard greens crushed red pepper russet potatoes onion olive oil low salt chicken broth spicy sausage garlic,spanish,southern_us,False
22276,avocado refried beans salsa iceberg lettuce fresh cilantro guacamole whole chicken lime green onions sour cream cotija flour tortillas cooked meat,mexican,mexican,True
792,vegetable oil all purpose flour egg buttermilk white sugar butter cornmeal baking soda salt,southern_us,southern_us,True
15116,fresh cilantro cumin seed extra virgin olive oil onion ground black pepper english cucumber fat free yogurt salt,indian,indian,True
194,steel cut oats salt ground cinnamon water hazelnut hazelnut oil brown sugar sweet cherries,irish,italian,False
4428,egg salt green onions olive oil ham yukon gold potatoes,spanish,spanish,True
1906,parsnip ground black pepper extra virgin olive oil sour cream savoy cabbage granny smith apples red wine vinegar beet fresh dill fresh thyme salt onion chicken stock honey bacon carrot,russian,russian,True
29899,pepper chicken breasts garlic cumin brown sugar lime vegetable oil cayenne pepper avocado fresh cilantro chili powder salt kosher salt low fat greek yogurt paprika chipotles in adobo,mexican,mexican,True
20372,black pepper diced red onions shredded lettuce salsa ground cumin avocado shredded cheddar cheese chili powder black olives sour cream taco shells boneless skinless chicken breasts garlic rice pickled jalapenos corn coarse salt white wine vinegar dried oregano,mexican,mexican,True
20267,chicken shredded cheese green chilies corn tortillas,mexican,mexican,True
38305,butter cream cheese  soften pork sausages egg all purpose flour onion shredded Monterey Jack cheese salt sour cream canola oil milk asparagus spears marjoram,french,mexican,False
38395,salad sugar flour egg evaporated milk vanilla chopped nuts shredded coconut butter brown sugar baking soda salt,french,southern_us,False
8851,salt boneless skinless chicken breasts pepper salsa lime wedges,mexican,mexican,True
29542,chicken broth baking powder salt onion pepper butter thyme sugar chicken breast halves all purpose flour frozen peas ground black pepper heavy cream fresh parsley,southern_us,southern_us,True
30710,asparagus salt heavy cream onion large eggs freshly ground pepper red potato extra virgin olive oil,italian,french,False
8020,ground black pepper sweet and sour sauce mung bean sprouts spring roll wrappers ground pork garlic frozen peas water grated carrot sauce cooking oil dipping sauces onion,filipino,filipino,True
21868,sun dried tomatoes feta cheese crumbles water garlic powder egg almond flour ground turkey olive oil fresh thyme leaves,italian,greek,False
18615,cauliflower coarse salt yellow onion cherry tomatoes extra virgin olive oil freshly ground pepper peeled fresh ginger cilantro leaves garlic cloves curry powder baby spinach chickpea,indian,indian,True
33483,lime cold water tamarind concentrate chili powder vodka ice,indian,mexican,False
31351,milk heavy cream sour cream unsalted butter buckwheat flour active dry yeast salt caviar sugar large eggs all purpose flour,russian,russian,True
38506,soy sauce lime asparagus green onions whole wheat tortillas salt peanut butter beansprouts pepper fresh ginger hot chili oil marinade crushed red pepper cilantro leaves corn starch baby spinach leaves honey Sriracha boneless skinless chicken breasts peanut sauce alfalfa sprouts carrot brown sugar water peanut lettuce leaves sesame oil purple onion rice vinegar cucumber,thai,thai,True
4532,water salt vanilla extract allspice basil leaves fresh lime juice sugar plum,italian,jamaican,False
11713,white bread black pepper flour Tabasco Pepper Sauce salt English mustard cremini mushrooms lager beer shallot worcestershire sauce cheddar cheese pepper flank steak butter thyme sirloin kosher salt beef stock watercress sauce,british,british,True
38424,pepper salt bacon spaghetti crushed tomatoes onion white wine crushed red pepper flakes,italian,italian,True
29070,ricotta cheese all purpose flour sour cream lemon cherry pie filling butter cream cheese white sugar egg vanilla extract corn starch,italian,italian,True
16091,swiss chard crushed red pepper black pepper chopped fresh thyme garlic cloves soft goat s cheese chopped fresh chives salt olive oil whole grain bread red bell pepper,french,italian,False
22472,graham cracker crusts walnut semisweet chocolate unsalted butter egg light corn syrup,southern_us,british,False
32576,ground cinnamon water sea salt cane sugar red bell pepper coconut oil extra firm tofu ginger cumin seed coconut milk tumeric potato cayenne pepper garlic cloves onion ground cloves sliced carrots peanut butter ground cardamom,indian,indian,True
38811,curry leaves coriander seeds bay leaves fenugreek seeds cinnamon sticks ground ginger tumeric mint leaves vegetable oil black mustard seeds fennel seeds black peppercorns vinegar chili powder cumin seed clove fenugreek leaves garlic powder seed cardamom pods citric acid,indian,indian,True
6960,avocado chopped cilantro fresh chopped onion salt,mexican,mexican,True
37352,turnip cider vinegar bay leaves garlic fresh rosemary prepared horseradish russet potatoes English mustard olive oil rib roast runny honey black peppercorns unsalted butter sea salt,british,french,False
33285,minced garlic lemon wedge spaghetti pasta sauce precooked meatballs crushed red pepper dried basil kalamata caper parmesan cheese anchovy paste,italian,italian,True
38977,parsnip whipping cream whole milk,british,british,True
11607,cooking oil salt small new potatoes brie cheese mushroom broccoli floret onion,french,french,True
9015,melted butter paprika water white sugar mayonaise cayenne pepper tomato paste garlic powder,japanese,cajun_creole,False
21517,asparagus vegetable broth arborio rice dry white wine saffron threads grated parmesan cheese olive oil pea,italian,italian,True
28998,light sour cream flour tortillas salt pepper cooked chicken nonstick spray black beans guacamole shredded pepper jack cheese roasted red peppers chili powder sliced green onions,mexican,mexican,True
3440,baguette grated lemon zest aged balsamic vinegar extra virgin olive oil freshly ground pepper mozzarella cheese salt fresh lemon juice mint leaves fresh fava bean,italian,italian,True
13754,water black olives sour cream tomato guacamole salsa avocado flour tortillas shredded sharp cheddar cheese ground beef green olives shredded lettuce taco seasoning,mexican,mexican,True
22385,pasta water stellette crushed garlic salt tomato bouillon cube leek gruyere cheese onion chard olive oil zucchini extra virgin olive oil celery flageolet gold potatoes basil leaves fine sea salt,french,italian,False
7874,baking powder spinach gluten free all purpose flour salt water oil,mexican,italian,False
12825,sugar butter unsalted butter milk vanilla extract egg flour,french,southern_us,False
12873,romaine lettuce chicken breasts crouton dressing parmesan cheese salt tomato dijon mustard oil pepper cheese tortellini sour cream,italian,italian,True
11804,butter white sugar unbaked pie crusts vanilla extract egg buttermilk ground nutmeg all purpose flour,southern_us,southern_us,True
11549,fettuccine pasta dry white wine dried dillweed milk salt sliced mushrooms pepper butter canned salmon diced onions grated parmesan cheese all purpose flour fresh parsley,italian,italian,True
36630,enchilada sauce onion corn tortillas shredded cheddar cheese,mexican,mexican,True
29488,dark soy sauce gyoza skins green onions chinese cabbage corn starch lean ground pork large egg whites chile puree shaoxing canola oil sugar water ground chicken breast dark sesame oil chinese black vinegar low sodium soy sauce white pepper peeled fresh ginger dried shiitake mushrooms oyster sauce,chinese,chinese,True
32924,sage leaves extra virgin olive oil prosciutto black pepper salt pork tenderloin,italian,italian,True
13613,garlic powder salt tomato sauce lean ground beef white sugar ground black pepper onion dried basil butter dried oregano,italian,italian,True
28906,olive oil crushed red pepper crusty bread balsamic vinegar rosemary sprigs prosciutto purple onion golden brown sugar ricotta cheese,italian,italian,True
36646,gravy pepper cream cheese  soften mashed potatoes salt milk,southern_us,southern_us,True
31377,saffron threads pernod tomato juice littleneck clams celery lobster tails fennel seeds dried thyme leek garlic cloves plum tomatoes mussel bottled clam juice ground black pepper grouper onion dried tarragon leaves olive oil dry white wine flat leaf parsley large shrimp,french,french,True
25798,clove fresh thyme epazote cumin seed masa black peppercorns jalapeno chilies hoja santa leaves garlic cloves water tomatillo white beans onion fresh marjoram pork loin salt flat leaf parsley,mexican,mexican,True
14269,mayonaise ground red pepper minced garlic yellow mustard cider vinegar vegetable oil fresh basil honey,southern_us,southern_us,True
28148,soy sauce mirin hot sauce toasted sesame seeds sugar water red pepper onion black pepper flank steak corn syrup iceberg lettuce white wine sesame oil garlic cloves,korean,korean,True
19248,chicken broth ground black pepper potato flakes celery white kidney beans soy sauce garlic red bell pepper onion white vinegar water beet chicken flavored soup powder white sugar green bell pepper potato carrot dill weed,russian,russian,True
19904,pepper extra virgin olive oil orange zest boneless pork shoulder cilantro fresh lime juice mint leaves garlic cloves ground cumin kosher salt fresh orange juice oregano,mexican,mexican,True
36637,andouille sausage low salt chicken broth butter grit,southern_us,southern_us,True
28340,dried tarragon leaves cooking spray garlic cloves ground black pepper shallot dried parsley pernod dry white wine fresh lemon juice tomato french bread butter large shrimp,french,french,True
35111,butter lettuce tangerine zest raw sugar champagne vinegar avocado kosher salt rice noodles cilantro leaves jumbo shrimp zucchini fresh orange juice rice paper pea shoots vegetable red pepper flakes garlic cloves,thai,mexican,False
26497,shallot garlic cloves bacon slices flat leaf parsley dry red wine low salt chicken broth crimini mushrooms all purpose flour boneless skinless chicken breast halves,french,french,True
6648,grated parmesan cheese spaghetti roasted almonds Italian parsley leaves ground black pepper extra virgin olive oil kosher salt chopped fresh chives,italian,italian,True
19033,white wine vinegar ginger root light soy sauce carrot chopped cilantro spring roll wrappers leaf lettuce cooked shrimp mirin cucumber,thai,chinese,False
17229,kahl a milk marshmallow creme sugar egg yolks brown sugar semisweet chocolate sweet baking chocolate whipping cream,french,french,True
7928,fish sauce jalapeno chilies garlic fresh mint lettuce lime vegetable oil new york strip steaks lemongrass shallot cilantro leaves light brown sugar cherry tomatoes crushed red pepper flakes rice,thai,thai,True
15534,fresh red chili fresh ginger root extra virgin olive oil garlic cloves ground cumin lamb stock date ground coriander couscous ground cinnamon pistachio nuts salt leg of lamb saffron threads fresh coriander paprika pomegranate onion,moroccan,moroccan,True
31890,catfish fillets vegetable oil garlic powder all purpose flour ground red pepper yellow corn meal salt,southern_us,southern_us,True
15995,extra virgin olive oil prosciutto parmigiano reggiano cheese penne fresh basil leaves,italian,italian,True
10261,mayonaise sweet pickle dried tarragon leaves caper coarse ground mustard,cajun_creole,french,False
13297,honey powdered sugar butter coconut vanilla extract egg egg yolks,brazilian,filipino,False
17435,bread garlic butter spring onions sugar salt,vietnamese,irish,False
19989,egg grated parmesan cheese fresh parsley frozen chopped spinach feta cheese vegetable oil ground cinnamon finely chopped onion butter phyllo dough shredded swiss cheese,greek,greek,True
3022,egg water ground pork ground beef white onion jalapeno chilies salt green olives olive oil white rice onion minced garlic tomatillo chopped cilantro,mexican,mexican,True
14811,yellow squash salt white onion cajun seasoning zucchini cayenne pepper mild olive oil worcestershire sauce,cajun_creole,cajun_creole,True
8112,garlic french baguette plum tomatoes fresh basil purple onion ground black pepper,italian,italian,True
32032,olive oil lemon juice caper balsamic vinegar pitted kalamata olives garlic cloves tomato cooking spray,italian,italian,True
16345,flour ginger warm water napa cabbage salt dough green onions grated carrot shiitake ground pork oil,vietnamese,chinese,False
28,green bell pepper egg roll wrappers sweet and sour sauce corn starch molasses vegetable oil oil soy sauce shredded cabbage garlic onion fresh ginger root ground pork carrot,chinese,chinese,True
8096,dried apricot couscous olive oil chicken breasts coriander fresh ginger root chickpea chicken stock harissa paste onion,moroccan,moroccan,True
11165,sugar red pepper curry paste chicken breasts salt olive oil garlic onion chicken stock vegetable oil coconut milk,thai,thai,True
23979,ground black pepper yellow onion baguette extra virgin olive oil plum tomatoes kosher salt hard boiled egg ham sherry vinegar garlic,spanish,spanish,True
10293,hanger steak olive oil salt cracked black pepper russet potatoes chopped parsley,french,spanish,False
29352,garam masala hot chili powder garlic cloves chicken stock bay leaves cilantro leaves onion cooking spray ginger lentil chopped tomatoes yoghurt long grain rice chicken thighs,indian,indian,True
32217,spinach olive oil salt mozzarella cheese grated parmesan cheese egg pepper ricotta cheese pasta sauce lasagna noodles flat leaf parsley,italian,italian,True
23977,milk ground black pepper butter salsa chopped cilantro fresh fresh spinach olive oil flour tortillas black olives sour cream lime pepper jack poblano chilies cayenne pepper ground cumin lime juice garlic powder green onions all purpose flour boneless skinless chicken breast halves,mexican,mexican,True
34159,fish sauce Thai red curry paste sesame chili oil water creamy peanut butter apple cider vinegar coconut milk Swerve Sweetener salt,thai,thai,True
34597,ground ginger tapioca starch orange juice soy sauce extra virgin olive oil sugar chicken cutlets spaghetti frozen broccoli florets garlic,chinese,chinese,True
17736,sesame seeds scallion soy sauce red pepper flakes brown sugar sesame oil garlic cloves water firm tofu,korean,korean,True
22964,red kidney beans water salt black pepper lean ground beef long grain white rice green bell pepper chili powder onion minced garlic diced tomatoes,cajun_creole,mexican,False
30610,pancetta dried porcini mushrooms dry white wine chicken livers fresh rosemary bay leaves hot water clove olive oil bigoli low salt chicken broth tomato paste grated parmesan cheese duck onion,italian,italian,True
28993,egg salt shallot greek yogurt sun dried tomatoes smoked paprika vegetable oil,greek,indian,False
